index	name	height	weight	description	image
11	Metapod	2' 04"	21.8	The shell covering this Pokémon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/11.png
12	Butterfree	3' 07"	70.5	Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/12.png
13	Weedle	1' 00"	7.1	Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/13.png
14	Kakuna	2' 00"	22.0	Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/14.png
15	Beedrill	3' 03"	65.0	Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/15.png
16	Pidgey	1' 00"	4.0	Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/16.png
17	Pidgeotto	3' 07"	66.1	Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/17.png
18	Pidgeot	4' 11"	87.1	This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/18.png
19	Rattata	1' 00"	7.7	Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/19.png
20	Raticate	2' 04"	40.8	Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/20.png
21	Spearow	1' 00"	4.4	Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/21.png
22	Fearow	3' 11"	83.8	Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/22.png
23	Ekans	6' 07"	15.2	Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/23.png
24	Arbok	11' 06"	143.3	This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/24.png
25	Pikachu	1' 04"	13.2	Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pokémon mistook the intensity of its charge.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/25.png
26	Raichu	2' 07"	66.1	If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon's nest.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/26.png
27	Sandshrew	2' 00"	26.5	Sandshrew's body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pokémon curls up to protect itself from its enemies.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/27.png
28	Sandslash	3' 03"	65.0	Sandslash's body is covered by tough spikes, which are hardened sections of its hide. Once a year, the old spikes fall out, to be replaced with new spikes that grow out from beneath the old ones.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/28.png
29	Nidoran♀	1' 04"	15.4	Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/29.png
30	Nidorina	2' 07"	44.1	When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/30.png
31	Nidoqueen	4' 03"	132.3	Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/31.png
32	Nidoran♂	1' 08"	19.8	Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon's notice.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/32.png
33	Nidorino	2' 11"	43.0	Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/33.png
34	Nidoking	4' 07"	136.7	Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/34.png
35	Clefairy	2' 00"	16.5	On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/35.png
36	Clefable	4' 03"	88.2	Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/36.png
37	Vulpix	2' 00"	21.8	At the time of its birth, Vulpix has one white tail. The tail separates into six if this Pokémon receives plenty of love from its Trainer. The six tails become magnificently curled.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/37.png
38	Ninetales	3' 07"	43.9	Ninetales casts a sinister light from its bright red eyes to gain total control over its foe's mind. This Pokémon is said to live for a thousand years.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/38.png
39	Jigglypuff	1' 08"	12.1	Jigglypuff's vocal cords can freely adjust the wavelength of its voice. This Pokémon uses this ability to sing at precisely the right wavelength to make its foes most drowsy.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/39.png
40	Wigglytuff	3' 03"	26.5	Wigglytuff has large, saucerlike eyes. The surfaces of its eyes are always covered with a thin layer of tears. If any dust gets in this Pokémon's eyes, it is quickly washed away.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/40.png
41	Zubat	2' 07"	16.5	Zubat remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/41.png
42	Golbat	5' 03"	121.3	Golbat loves to drink the blood of living things. It is particularly active in the pitch black of night. This Pokémon flits around in the night skies, seeking fresh blood.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/42.png
43	Oddish	1' 08"	11.9	During the daytime, Oddish buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/43.png
44	Gloom	2' 07"	19.0	Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this Pokémon is feeling calm and secure, it does not release its usual stinky aroma.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/44.png
45	Vileplume	3' 11"	41.0	Vileplume's toxic pollen triggers atrocious allergy attacks. That's why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/45.png
46	Paras	1' 00"	11.9	Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/46.png
47	Parasect	3' 03"	65.0	Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/47.png
48	Venonat	3' 03"	66.1	Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/48.png
49	Venomoth	4' 11"	27.6	Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/49.png
50	Diglett	0' 08"	1.8	Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/50.png
51	Dugtrio	2' 04"	73.4	Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/51.png
52	Meowth	1' 04"	9.3	Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/52.png
53	Persian	3' 03"	70.5	Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon's surrounding vicinity. It becomes docile if grabbed by the whiskers.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/53.png
54	Psyduck	2' 07"	43.2	Psyduck uses a mysterious power. When it does so, this Pokémon generates brain waves that are supposedly only seen in sleepers. This discovery spurred controversy among scholars.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/54.png
55	Golduck	5' 07"	168.9	The webbed flippers on its forelegs and hind legs and the streamlined body of Golduck give it frightening speed. This Pokémon is definitely much faster than even the most athletic swimmer.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/55.png
56	Mankey	1' 08"	61.7	When Mankey starts shaking and its nasal breathing turns rough, it's a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/56.png
57	Primeape	3' 03"	70.5	When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/57.png
58	Growlithe	2' 04"	41.9	Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won't forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/58.png
59	Arcanine	6' 03"	341.7	Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon's body is its source of power.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/59.png
60	Poliwag	2' 00"	27.3	Poliwag has a very thin skin. It is possible to see the Pokémon's spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/60.png
61	Poliwhirl	3' 03"	44.1	The surface of Poliwhirl's body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/61.png
62	Poliwrath	4' 03"	119.0	Poliwrath's highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/62.png
63	Abra	2' 11"	43.0	Abra sleeps for eighteen hours a day. However, it can sense the presence of foes even while it is sleeping. In such a situation, this Pokémon immediately teleports to safety.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/63.png
64	Kadabra	4' 03"	124.6	Kadabra emits a peculiar alpha wave if it develops a headache. Only those people with a particularly strong psyche can hope to become a Trainer of this Pokémon.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/64.png
65	Alakazam	4' 11"	105.8	Alakazam's brain continually grows, making its head far too heavy to support with its neck. This Pokémon holds its head up using its psychokinetic power instead.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/65.png
66	Machop	2' 07"	43.0	Machop's muscles are special—they never get sore no matter how much they are used in exercise. This Pokémon has sufficient power to hurl a hundred adult humans.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/66.png
67	Machoke	4' 11"	155.4	Machoke's thoroughly toned muscles possess the hardness of steel. This Pokémon has so much strength, it can easily hold aloft a sumo wrestler on just one finger.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/67.png
68	Machamp	5' 03"	286.6	Machamp has the power to hurl anything aside. However, trying to do any work requiring care and dexterity causes its arms to get tangled. This Pokémon tends to leap into action before it thinks.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/68.png
69	Bellsprout	2' 04"	8.8	Bellsprout's thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/69.png
70	Weepinbell	3' 03"	14.1	Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/70.png
71	Victreebel	5' 07"	34.2	Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/71.png
72	Tentacool	2' 11"	100.3	Tentacool's body is largely composed of water. If it is removed from the sea, it dries up like parchment. If this Pokémon happens to become dehydrated, put it back into the sea.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/72.png
73	Tentacruel	5' 03"	121.3	Tentacruel has large red orbs on its head. The orbs glow before lashing the vicinity with a harsh ultrasonic blast. This Pokémon's outburst creates rough waves around it.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/73.png
74	Geodude	1' 04"	44.1	The longer a Geodude lives, the more its edges are chipped and worn away, making it more rounded in appearance. However, this Pokémon's heart will remain hard, craggy, and rough always.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/74.png
75	Graveler	3' 03"	231.5	Graveler grows by feeding on rocks. Apparently, it prefers to eat rocks that are covered in moss. This Pokémon eats its way through a ton of rocks on a daily basis.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/75.png
76	Golem	4' 07"	661.4	Golem live up on mountains. If there is a large earthquake, these Pokémon will come rolling down off the mountains en masse to the foothills below.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/76.png
77	Ponyta	3' 03"	66.1	Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/77.png
78	Rapidash	5' 07"	209.4	Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/78.png
79	Slowpoke	3' 11"	79.4	Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it's doing and often spends entire days just loafing at water's edge.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/79.png
80	Slowbro	5' 03"	173.1	Slowbro's tail has a Shellder firmly attached with a bite. As a result, the tail can't be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/80.png
81	Magnemite	1' 00"	13.2	Magnemite attaches itself to power lines to feed on electricity. If your house has a power outage, check your circuit breakers. You may find a large number of this Pokémon clinging to the breaker box.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/81.png
82	Magneton	3' 03"	132.3	Magneton emits a powerful magnetic force that is fatal to mechanical devices. As a result, large cities sound sirens to warn citizens of large-scale outbreaks of this Pokémon.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/82.png
83	Farfetch'd	2' 07"	33.1	Farfetch'd is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/83.png
84	Doduo	4' 07"	86.4	Doduo's two heads never sleep at the same time. Its two heads take turns sleeping, so one head can always keep watch for enemies while the other one sleeps.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/84.png
85	Dodrio	5' 11"	187.8	Watch out if Dodrio's three heads are looking in three separate directions. It's a sure sign that it is on its guard. Don't go near this Pokémon if it's being wary—it may decide to peck you.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/85.png
86	Seel	3' 07"	198.4	Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/86.png
87	Dewgong	5' 07"	264.6	Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/87.png
88	Grimer	2' 11"	66.1	Grimer's sludgy and rubbery body can be forced through any opening, however small it may be. This Pokémon enters sewer pipes to drink filthy wastewater.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/88.png
89	Muk	3' 11"	66.1	From Muk's body seeps a foul fluid that gives off a nose-bendingly horrible stench. Just one drop of this Pokémon's body fluid can turn a pool stagnant and rancid.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/89.png
90	Shellder	1' 00"	8.8	At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/90.png
91	Cloyster	4' 11"	292.1	Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/91.png
92	Gastly	4' 03"	0.2	Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/92.png
93	Haunter	5' 03"	0.2	Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/93.png
94	Gengar	4' 11"	89.3	Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/94.png
95	Onix	28' 10"	463.0	Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/95.png
96	Drowzee	3' 03"	71.4	If your nose becomes itchy while you are sleeping, it's a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/96.png
97	Hypno	5' 03"	166.7	Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/97.png
98	Krabby	1' 04"	14.3	Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/98.png
99	Kingler	4' 03"	132.3	Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/99.png
100	Voltorb	1' 08"	22.9	Voltorb was first sighted at a company that manufactures Poké Balls. The link between that sighting and the fact that this Pokémon looks very similar to a Poké Ball remains a mystery.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/100.png
101	Electrode	3' 11"	146.8	Electrode eats electricity in the atmosphere. On days when lightning strikes, you can see this Pokémon exploding all over the place from eating too much electricity.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/101.png
102	Exeggcute	1' 04"	5.5	This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/102.png
103	Exeggutor	6' 07"	264.6	Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/103.png
104	Cubone	1' 04"	14.3	Cubone pines for the mother it will never see again. Seeing a likeness of its mother in the full moon, it cries. The stains on the skull the Pokémon wears are made by the tears it sheds.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/104.png
105	Marowak	3' 03"	99.2	Marowak is the evolved form of a Cubone that has overcome its sadness at the loss of its mother and grown tough. This Pokémon's tempered and hardened spirit is not easily broken.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/105.png
106	Hitmonlee	4' 11"	109.8	Hitmonlee's legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/106.png
107	Hitmonchan	4' 07"	110.7	Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/107.png
108	Lickitung	3' 11"	144.4	Whenever Lickitung comes across something new, it will unfailingly give it a lick. It does so because it memorizes things by texture and by taste. It is somewhat put off by sour things.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/108.png
109	Koffing	2' 00"	2.2	If Koffing becomes agitated, it raises the toxicity of its internal gases and jets them out from all over its body. This Pokémon may also overinflate its round body, then explode.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/109.png
110	Weezing	3' 11"	20.9	Weezing loves the gases given off by rotted kitchen garbage. This Pokémon will find a dirty, unkempt house and make it its home. At night, when the people in the house are asleep, it will go through the trash.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/110.png
111	Rhyhorn	3' 03"	253.5	Rhyhorn runs in a straight line, smashing everything in its path. It is not bothered even if it rushes headlong into a block of steel. This Pokémon may feel some pain from the collision the next day, however.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/111.png
112	Rhydon	6' 03"	264.6	Rhydon's horn can crush even uncut diamonds. One sweeping blow of its tail can topple a building. This Pokémon's hide is extremely tough. Even direct cannon hits don't leave a scratch.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/112.png
113	Chansey	3' 07"	76.3	Chansey lays nutritionally excellent eggs on an everyday basis. The eggs are so delicious, they are easily and eagerly devoured by even those people who have lost their appetite.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/113.png
114	Tangela	3' 03"	77.2	Tangela's vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/114.png
115	Kangaskhan	7' 03"	176.4	If you come across a young Kangaskhan playing by itself, you must never disturb it or attempt to catch it. The baby Pokémon's parent is sure to be in the area, and it will become violently enraged at you.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/115.png
116	Horsea	1' 04"	17.6	Horsea eats small insects and moss off of rocks. If the ocean current turns fast, this Pokémon anchors itself by wrapping its tail around rocks or coral to prevent being washed away.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/116.png
117	Seadra	3' 11"	55.1	Seadra sleeps after wriggling itself between the branches of coral. Those trying to harvest coral are occasionally stung by this Pokémon's poison barbs if they fail to notice it.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/117.png
118	Goldeen	2' 00"	33.1	Goldeen is a very beautiful Pokémon with fins that billow elegantly in water. However, don't let your guard down around this Pokémon—it could ram you powerfully with its horn.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/118.png
119	Seaking	4' 03"	86.0	In the autumn, Seaking males can be seen performing courtship dances in riverbeds to woo females. During this season, this Pokémon's body coloration is at its most beautiful.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/119.png
120	Staryu	2' 07"	76.1	Staryu's center section has an organ called the core that shines bright red. If you go to a beach toward the end of summer, the glowing cores of these Pokémon look like the stars in the sky.                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/120.png
121	Starmie	3' 07"	176.4	Starmie's center section—the core—glows brightly in seven colors. Because of its luminous nature, this Pokémon has been given the nickname “the gem of the sea."                 	https://assets.pokemon.com/assets/cms2/img/pokedex/full/121.png
